"","soc_uni","soc","occupation","id","new_descript","word","definition"
"1076","41-2011","41-2011.00","Cashiers"," 2400","Take payments by cash, check, or credit card. Take vouchers and other forms of payment.","voucher","A note given in place of money."
"1077","41-2011","41-2011.00","Cashiers"," 2401","Give buyers receipts and change owed. Give refunds and credits owed.","receipts","Records showing that payments were made or money is owed."
"1078","41-2011","41-2011.00","Cashiers"," 2413","Sell tickets and other things to the public.",NA,NA
"1079","41-2021","41-2021.00","Counter and Rental Clerks","  682","Greet customers. Find out what items they want to rent and how many they need.",NA,NA
"1080","41-2021","41-2021.00","Counter and Rental Clerks","  681","Answer phones. Take orders and tell people what they need to know.",NA,NA
"1081","41-2021","41-2021.00","Counter and Rental Clerks","  690","Rent items. Set up services for renters. Take back items that renters return.",NA,NA
"1082","45-2093","45-2093.00","Farmworkers, Farm, Ranch, and Aquacultural Animals","13410","Feed and water livestock. Make sure there is enough food and water on hand.","livestock","Animals kept or raised on a farm or ranch."
"1083","45-2093","45-2093.00","Farmworkers, Farm, Ranch, and Aquacultural Animals","13411","Drive trucks, tractors, and other equipment to bring feed to livestock.","livestock","Animals kept or raised on a farm or ranch."
"1084","45-2093","45-2093.00","Farmworkers, Farm, Ranch, and Aquacultural Animals","13426","Keep records of growth, feeding, production, and costs.","production","The act of making something."
"1085","45-4022","45-4022.00","Logging Equipment Operators"," 9807","Control hydraulic tractors that have tree clamps and booms. Use the equipment to lift, swing, and bunch trees that have been cut.","hydraulic","Powered by water or other liquids."
"1086","45-4022","45-4022.00","Logging Equipment Operators"," 9807","Control hydraulic tractors that have tree clamps and booms. Use the equipment to lift, swing, and bunch trees that have been cut.","bunch","To put together in a group."
"1087","45-4022","45-4022.00","Logging Equipment Operators"," 9806","Grade logs by following set standards. Give grades based on knot size, straightness, and more.",NA,NA
"1088","45-4022","45-4022.00","Logging Equipment Operators"," 9808","Drive tractors and tree harvesters. Use them to cut the tops off of trees. Use them to cut tree branches and logs.",NA,NA
"1089","47-3014","47-3014.00","Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons","13612","Clean work areas and machines.",NA,NA
"1090","47-3014","47-3014.00","Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons","13613","Help masons and workers who paint, put up plaster, or hang paper and billboards. Do support tasks.",NA,NA
"1091","47-3014","47-3014.00","Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons","13614","Tape, cover, and protect spots that could get stained or damaged by work.",NA,NA
"1092","47-4071","47-4071.00","Septic Tank Servicers and Sewer Pipe Cleaners","11602","Use cell phones, pagers, or radios to talk with bosses and workers.",NA,NA
"1093","47-4071","47-4071.00","Septic Tank Servicers and Sewer Pipe Cleaners","11601","Drive trucks to move workers, supplies, and equipment from place to place.",NA,NA
"1094","47-4071","47-4071.00","Septic Tank Servicers and Sewer Pipe Cleaners","11604","Use equipment to clean sewers. Use water jets, flushers, and more.",NA,NA
"1095","47-5011","47-5011.00","Derrick Operators, Oil and Gas"," 9890","Check derricks for problems. Clean and oil them. Keep them in good working order.","derricks","Tower-like frames set up over drill holes."
"1096","47-5011","47-5011.00","Derrick Operators, Oil and Gas"," 9899","Make mud reports. Tell crews how to handle any chemicals that must be used.",NA,NA
"1097","47-5011","47-5011.00","Derrick Operators, Oil and Gas"," 9900","Put holding clamps on the ends of cables used to lift things into the air.",NA,NA
"1098","47-5071","47-5071.00","Roustabouts, Oil and Gas"," 7118","Keep pipe deck and main deck clean and neat.",NA,NA
"1099","47-5071","47-5071.00","Roustabouts, Oil and Gas"," 7119","Guide cranes to move loads about decks.","load","A group of things to be carried together."
"1100","47-5071","47-5071.00","Roustabouts, Oil and Gas"," 7120","Bring needed equipment to the rig floors. Help roughnecks.","roughnecks","Workers on an oil-drilling rig."
"1101","51-3022","51-3022.00","Meat, Poultry, and Fish Cutters and Trimmers"," 8803","Separate meat, organs, and bone. Put them in their own containers. Seal the containers.","separate","To set apart."
"1102","51-3022","51-3022.00","Meat, Poultry, and Fish Cutters and Trimmers"," 8807","Make foods that are ready to heat up and serve. Cut meat or fish into pieces. Prepare and add vegetables, sauces, or breading.",NA,NA
"1103","51-3022","51-3022.00","Meat, Poultry, and Fish Cutters and Trimmers"," 8800","Make hamburger meat and meat trimmings.",NA,NA
"1104","51-6011","51-6011.00","Laundry and Dry-Cleaning Workers","12121","Load machines that wash or dry-clean. Direct others to load the machines.",NA,NA
"1105","51-6011","51-6011.00","Laundry and Dry-Cleaning Workers","12137","Mix bleaches with hot water in vats. Soak items until they are bleached.","bleach","A chemical that makes things turn white."
"1106","51-6011","51-6011.00","Laundry and Dry-Cleaning Workers","12137","Mix bleaches with hot water in vats. Soak items until they are bleached.","vats","Big containers."
"1107","51-6011","51-6011.00","Laundry and Dry-Cleaning Workers","12134","Spread dirty items on work tables. Place them so that stains can be cleaned.",NA,NA
"1108","53-3041","53-3041.00","Taxi Drivers and Chauffeurs"," 3166","Make sure vehicle equipment is working well. Check lights, brakes, horns, wipers, and more.","vehicle","A machine that moves or carries people or things, such as a truck, car, or tractor."
"1109","53-3041","53-3041.00","Taxi Drivers and Chauffeurs"," 3183","Turn the meter on when riders enter the cab. Turn it off when riders reach where they are going.","meter","A piece of equipment that measures and records the amount of something."
"1110","53-3041","53-3041.00","Taxi Drivers and Chauffeurs"," 3180","Take fares or vouchers from riders. Give back change or receipts, as needed.","voucher","A note given in place of money."
"1111","53-3041","53-3041.00","Taxi Drivers and Chauffeurs"," 3180","Take fares or vouchers from riders. Give back change or receipts, as needed.","receipts","Records showing that payments were made or money is owed."
"1112","53-7011","53-7011.00","Conveyor Operators and Tenders","10757","Use your hands to load, unload, and move products on conveyors. Use lifts and open gates.","conveyors","Machines that move products from one place to another, often rolling them along a belt."
"1113","53-7011","53-7011.00","Conveyor Operators and Tenders","10756","Take samples of products. Check to make sure they meet standards, or send them to a lab for testing.","lab","Short for laboratory. A place where tests are done."
"1114","53-7011","53-7011.00","Conveyor Operators and Tenders","10752","Read schedules for when products must be made and delivered. Work with supervisors to meet deadlines. Set up how and when to sort, move, and arrange shipment on pallets.","schedule","A list of times and dates when tasks will get done."
"1115","53-7011","53-7011.00","Conveyor Operators and Tenders","10752","Read schedules for when products must be made and delivered. Work with supervisors to meet deadlines. Set up how and when to sort, move, and arrange shipment on pallets.","delivered","Sent or brought to a buyer."
"1116","53-7011","53-7011.00","Conveyor Operators and Tenders","10752","Read schedules for when products must be made and delivered. Work with supervisors to meet deadlines. Set up how and when to sort, move, and arrange shipment on pallets.","arrange","Put something in order; fit together."
"1117","53-7011","53-7011.00","Conveyor Operators and Tenders","10752","Read schedules for when products must be made and delivered. Work with supervisors to meet deadlines. Set up how and when to sort, move, and arrange shipment on pallets.","pallet","A low platform or board."
"1118","11-9051","11-9051.00","Food Service Managers"," 1080","Make sure food is prepared the right way. Check that the right amount is made and that the food looks good.",NA,NA
"1119","11-9051","11-9051.00","Food Service Managers","15199","Count money and put it in a bank account.",NA,NA
"1120","11-9051","11-9051.00","Food Service Managers"," 1098","Greet guests and show them to their seats. Give them menus and wine lists.","menu","A listing of foods that people can buy at a restaurant."
"1121","23-2093","23-2093.00","Title Examiners, Abstractors, and Searchers"," 9231","Check records such as deeds, maps, contracts, and more. Find out legal facts about a house, building, or land. Check how it is described, who owns it, and more.",NA,NA
"1122","23-2093","23-2093.00","Title Examiners, Abstractors, and Searchers"," 9234","Check property titles. Find out if there are taxes owed or limits on how a property can be used.","title","Proof that you own something."
"1123","23-2093","23-2093.00","Title Examiners, Abstractors, and Searchers"," 9230","Make lists of all signed legal papersabout a piece of land and the buildings on it.",NA,NA
"1124","27-1023","27-1023.00","Floral Designers"," 1722","Choose flowers and plants to put together and display. Come up with different mixes and ways to arrange them.","display","Put something out for people to see."
"1125","27-1023","27-1023.00","Floral Designers"," 1722","Choose flowers and plants to put together and display. Come up with different mixes and ways to arrange them.","arrange","Put something in order; fit together."
"1126","27-1023","27-1023.00","Floral Designers"," 1721","Water plants. Cut and clean flowers and plants and get them ready for storage.","storage","Somewhere to keep something for later use."
"1127","27-1023","27-1023.00","Floral Designers"," 1726","Keep records and do office tasks. Help customers, answer phones, make sales, and take payments.",NA,NA
"1128","27-2011","27-2011.00","Actors"," 7646","Work with other actors as part of a group or team.",NA,NA
"1129","27-2011","27-2011.00","Actors"," 7651","Sing or dance. Act in comedies or dramas.","comedies","Shows that are funny."
"1130","27-2011","27-2011.00","Actors"," 7651","Sing or dance. Act in comedies or dramas.","dramas","Shows that are serious."
"1131","27-2011","27-2011.00","Actors"," 7653","Promote plays and movies by talking to the press.","promote","To get something noticed."
"1132","27-3012","27-3012.00","Public Address System and Other Announcers","20891","Pick and play music that is right for the crowd.",NA,NA
"1133","27-3012","27-3012.00","Public Address System and Other Announcers"," 7702","Tell the crowd about changes to a program, game, or event.",NA,NA
"1134","27-3012","27-3012.00","Public Address System and Other Announcers"," 7711","Give info to workers who run the scoreboard at a game.",NA,NA
"1135","29-2051","29-2051.00","Dietetic Technicians"," 4164","Keep track of how much food a patient eats. Report progress and problems to dietician.","dietician","An expert on healthy eating."
"1136","29-2051","29-2051.00","Dietetic Technicians"," 4165","Make a major meal. Follow recipes. Figure out how much food and what kind of food is needed.","recipe","Instructions that tell you how to make a meal."
"1137","29-2051","29-2051.00","Dietetic Technicians"," 4167","Make sure food is prepared and served in the right way. Help dietary and nutrition aides plan or guide food service.","dietary and nutrition aides","People who help with programs for healthy eating."
"1138","31-1011","31-1011.00","Home Health Aides"," 4240","Keep records about patient care. Track patients’ health and progress. Report and discuss problems with the person in charge.",NA,NA
"1139","31-1011","31-1011.00","Home Health Aides","20577","Bathe and wash patients.",NA,NA
"1140","31-1011","31-1011.00","Home Health Aides","18695","Give patients prescribed drugs to swallow. Make sure they take the drugs. Follow written orders from a doctor, nurse, or aide.","prescribed","Ordered by a doctor."
"1141","31-1013","31-1013.00","Psychiatric Aides","20578","Listen to patients with mental health problems. Support their feelings and encourage them.","encourage","To cheer on and support."
"1142","31-1013","31-1013.00","Psychiatric Aides","18696","Check on the well-being of mental health patients. Make sure they aren’t acting in a harmful or unusual way. Report findings to staff in charge.","unusual","Not normal."
"1143","31-1013","31-1013.00","Psychiatric Aides","18698","Enter doctors’ orders into a computer. Answer phones calls. Keep track of health info. Do office tasks.",NA,NA
"1144","31-1014","31-1014.00","Nursing Assistants","19317","Respond to patients who ask for help. Answer call lights, bells, and intercoms.","intercom","A sound system that someone can speak through."
"1145","31-1014","31-1014.00","Nursing Assistants","19334","Remind patients to take prescribed drugs. Make sure they eat any supplements needed.","prescribed","Ordered by a doctor."
"1146","31-1014","31-1014.00","Nursing Assistants","19334","Remind patients to take prescribed drugs. Make sure they eat any supplements needed.","supplement","Something added to a person’s diet."
"1147","31-1014","31-1014.00","Nursing Assistants","19335","Make sure patients’ rooms have basic care items. Those items include towels, soap, toilet paper, and more.",NA,NA
"1148","31-1015","31-1015.00","Orderlies","19366","Move patients in wheelchairs, stretchers, and beds with wheels. Bring them to get treatments, tests, surgery, and more.",NA,NA
"1149","31-1015","31-1015.00","Orderlies","19356","Clean equipment and supplies to get rid of germs. Use equipment or products that kill germs.","germ","A tiny living thing that spreads illness."
"1150","31-1015","31-1015.00","Orderlies","19353","Clean equipment, wheelchairs, beds, and more. Keep a record of repairs or fixes needed.",NA,NA
"1151","31-2022","31-2022.00","Physical Therapist Aides"," 4273","Clean and tidy work areas after treatment. Use cleaning products that kill germs.","tidy","To make something neat."
"1152","31-2022","31-2022.00","Physical Therapist Aides"," 4273","Clean and tidy work areas after treatment. Use cleaning products that kill germs.","germ","A tiny living thing that spreads illness."
"1153","31-2022","31-2022.00","Physical Therapist Aides"," 4275","Teach patients how to do health exercises. Make sure they exercise safely. Help them and cheer them on. Follow orders from medical staff.","health exercises","Ways to move your body to make it strong or healthy."
"1154","31-2022","31-2022.00","Physical Therapist Aides"," 4279","Keep track of patients’ treatments. Keep track of equipment used.",NA,NA
"1155","31-9093","31-9093.00","Medical Equipment Preparers"," 4293","Run steam machines that kill germs. Keep records of items cleaned in machines. Make sure machines stay in good working order. Keep track of upkeep.","germ","A tiny living thing that spreads illness."
"1156","31-9093","31-9093.00","Medical Equipment Preparers"," 4292","Get medical tools ready for steam cleaning. Clean tools before putting them in machines.",NA,NA
"1157","31-9093","31-9093.00","Medical Equipment Preparers"," 4291","Put medical tools used for surgery on trays. Put them in the right order. Make sure tools and trays are germ-free.","germ","A tiny living thing that spreads illness."
"1158","31-9095","31-9095.00","Pharmacy Aides"," 2052","Use a cash register to make cash and credit sales.",NA,NA
"1159","31-9095","31-9095.00","Pharmacy Aides"," 2046","Answer questions over the phone. Pass on calls to the pharmacist when needed.","pharmacist","A person with a license to give out drugs and medicine."
"1160","31-9095","31-9095.00","Pharmacy Aides"," 2050","Get labels ready for prescribed drugs. Type or print labels. Use a computer.","prescribed","Ordered by a doctor."
"1161","33-3011","33-3011.00","Bailiffs","20123","Screen people going into a courthouse. Use metal detectors, x-rays, and more. Check for weapons and other items not allowed in court.","screen","Check carefully."
"1162","33-3011","33-3011.00","Bailiffs","20125","Make sure the courtroom is safe and clean. Make sure there are supplies such as pens and notepads on hand.",NA,NA
"1163","33-3011","33-3011.00","Bailiffs","20128","Keep the court docket up to date.","docket","The list of cases waiting to go to trial."
"1164","33-3012","33-3012.00","Correctional Officers and Jailers","15253","Make sure inmates are behaving and following rules. Watch them in all settings. Make sure there are no escapes or violence.",NA,NA
"1165","33-3012","33-3012.00","Correctional Officers and Jailers"," 2113","Give inmates tasks to do. Show them how to do tasks, if needed.",NA,NA
"1166","33-3012","33-3012.00","Correctional Officers and Jailers"," 2104","Check mail for items that are not allowed.",NA,NA
"1167","33-9011","33-9011.00","Animal Control Workers"," 7963","Care for animals. Give them food and water.",NA,NA
"1168","33-9011","33-9011.00","Animal Control Workers"," 7964","Clean dog pens and animal control trucks. Clean places where animals are kept.",NA,NA
"1169","33-9011","33-9011.00","Animal Control Workers"," 7966","Teach the public about animal control laws and rules. Teach the public how to care for animals.",NA,NA
"1170","33-9032","33-9032.00","Security Guards"," 2133","Keep track of people coming and going from a site. Guard against theft. Make sure the area is safe and protected.",NA,NA
"1171","33-9032","33-9032.00","Security Guards"," 2134","Write daily reports about problems that happen on site. Note any damage or theft that takes place. Note any people or events that are unusual.","unusual","Not normal."
"1172","33-9032","33-9032.00","Security Guards"," 2141","Check security systems, equipment, and machines. Make sure they are working right. Make sure no one tries to stop them from working.",NA,NA
"1173","33-9091","33-9091.00","Crossing Guards","11118","Guide traffic and people. Make sure everyone can cross traffic safely. Work at road and railroad crossings, schools, and building sites.",NA,NA
"1174","33-9091","33-9091.00","Crossing Guards","11122","Direct traffic using hands, signs, and lights. Warn about risks and guide traffic safely past them.",NA,NA
"1175","33-9091","33-9091.00","Crossing Guards","11124","Stop drivers who are speeding. Warn them about traffic laws.",NA,NA
"1176","33-9092","33-9092.00","Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"," 5041","Check to make sure recreation sites are safe. Check places such as trails, ski slopes, and swimming spots. Work on foot, in vehicles, or from towers.","recreation","A fun pastime."
"1177","33-9092","33-9092.00","Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"," 5041","Check to make sure recreation sites are safe. Check places such as trails, ski slopes, and swimming spots. Work on foot, in vehicles, or from towers.","vehicle","A machine that moves or carries people or things, such as a truck, car, or tractor."
"1178","33-9092","33-9092.00","Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","20129","Make sure the quality of pool water is correct. Test the level of chemicals.",NA,NA
"1179","33-9092","33-9092.00","Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"," 5049","Watch how people are acting and make sure they stay safe. Use binoculars. Check for risks, problems, and rule breaking.","binoculars","Equipment you look through to make far-away objects look closer and bigger."
"1180","35-1012","35-1012.00","First-Line Supervisors of Food Preparation and Serving Workers","18715","Help clean kitchen and dining places. Watch other workers to make sure they clean up those places.",NA,NA
"1181","35-1012","35-1012.00","First-Line Supervisors of Food Preparation and Serving Workers"," 2154","Tell workers how much food to prepare and serve, in what order and when. Plan how to set up workstations and equipment.",NA,NA
"1182","35-1012","35-1012.00","First-Line Supervisors of Food Preparation and Serving Workers"," 2156","Greet and seat guests. Give them menus and wine lists.","menu","A listing of foods that people can buy at a restaurant."
"1183","35-2012","35-2012.00","Cooks, Institution and Cafeteria"," 9492","Keep track of food use. Gather and update records.",NA,NA
"1184","35-2012","35-2012.00","Cooks, Institution and Cafeteria"," 9490","Keep track of government food supplies. Make sure they are used the right way and that rules are followed.",NA,NA
"1185","35-2012","35-2012.00","Cooks, Institution and Cafeteria"," 9497","Check menus and spending to make sure costs stay low.","menu","A listing of foods served."
"1186","35-2014","35-2014.00","Cooks, Restaurant"," 2169","Turn or stir foods so they cook in an even way.",NA,NA
"1187","35-2014","35-2014.00","Cooks, Restaurant"," 2170","Cook and flavor food with salt, pepper, herbs, and more. Follow recipes and make choices based on your learning and know-how.","recipe","Instructions that tell you how to make a meal."
"1188","35-2014","35-2014.00","Cooks, Restaurant"," 2173","Arrange food on plates so that it looks good. Make sure the right amount is served. Give plates to waiters or diners.","arrange","Put something in order; fit together."
"1189","35-3011","35-3011.00","Bartenders"," 2223","Collect money owed for drinks.",NA,NA
"1190","35-3011","35-3011.00","Bartenders"," 2228","Take drink orders from serving staff or customers.",NA,NA
"1191","35-3011","35-3011.00","Bartenders"," 2229","Serve wine and beer.",NA,NA
"1192","37-1011","37-1011.00","First-Line Supervisors of Housekeeping and Janitorial Workers"," 9515","Make sure cleaners do their tasks well. Help clean, if needed.",NA,NA
"1193","37-1011","37-1011.00","First-Line Supervisors of Housekeeping and Janitorial Workers"," 9512","Explain how to stop the spread of germs in places like hospitals. Make sure those steps are followed.","germ","A tiny living thing that spreads illness."
"1194","37-1011","37-1011.00","First-Line Supervisors of Housekeeping and Janitorial Workers"," 9533","Run in-house laundry, dry-cleaning, and valet services. Make sure workers do their tasks well.","valet","Parking."
"1195","37-1011","37-1011.00","First-Line Supervisors of Housekeeping and Janitorial Workers"," 9533","Run in-house laundry, dry-cleaning, and valet services. Make sure workers do their tasks well.","services","Helpful acts, things that are done for other people."
"1196","37-2011","37-2011.00","Janitors and Cleaners, Except Maids and Housekeeping Cleaners"," 9540","Clean floors. Sweep, mop, wash, or vacuum.",NA,NA
"1197","37-2011","37-2011.00","Janitors and Cleaners, Except Maids and Housekeeping Cleaners"," 9541","Use chemical cleaners and power equipment. Follow rules to make sure nothing gets damaged.",NA,NA
"1198","37-2011","37-2011.00","Janitors and Cleaners, Except Maids and Housekeeping Cleaners"," 9542","Mix water with soap or acid to make cleansers. Mix them in containers. Follow guidelines.","acid","A chemical that can burn away or dissolve things."
"1199","37-2011","37-2011.00","Janitors and Cleaners, Except Maids and Housekeeping Cleaners"," 9542","Mix water with soap or acid to make cleansers. Mix them in containers. Follow guidelines.","cleanser","Something that cleans, like soap."
"1200","37-2012","37-2012.00","Maids and Housekeeping Cleaners"," 9561","Clean rooms, hallways, stairways, and other work areas. Make sure health standards are met.",NA,NA
"1201","37-2012","37-2012.00","Maids and Housekeeping Cleaners"," 9563","Refill supplies in guest rooms. Those include drinking glasses, sheets, bathroom items, and more.","refill","To fill again."
"1202","37-2012","37-2012.00","Maids and Housekeeping Cleaners"," 9566","Sweep, scrub, wax, or polish floors. Use brooms, mops, or scrubbing and waxing machines.",NA,NA
"1203","37-2021","37-2021.00","Pest Control Workers"," 7974","Keep a record of what work tasks have been done.",NA,NA
"1204","37-2021","37-2021.00","Pest Control Workers","20759","Tell people how to treat and prevent pest problems.","pests","Animals that are hard to control. They are often small animals like fleas, bedbugs, and mice."
"1205","37-2021","37-2021.00","Pest Control Workers","20759","Tell people how to treat and prevent pest problems.","prevent","To keep from happening."
"1206","37-2021","37-2021.00","Pest Control Workers"," 7979","Drive a truck that has equipment for power spraying.",NA,NA
"1207","37-3012","37-3012.00","Pesticide Handlers, Sprayers, and Applicators, Vegetation","11227","Fill sprayer tanks with water and chemicals. Follow guidelines to get the right mix.",NA,NA
"1208","37-3012","37-3012.00","Pesticide Handlers, Sprayers, and Applicators, Vegetation","11232","Connect the hoses and nozzles needed to treat a pest problem. Pick hoses and nozzles that match the place and pests you are treating.","pests","Animals that are hard to control. They are often small animals like fleas, bedbugs, and mice."
"1209","37-3012","37-3012.00","Pesticide Handlers, Sprayers, and Applicators, Vegetation","11232","Connect the hoses and nozzles needed to treat a pest problem. Pick hoses and nozzles that match the place and pests you are treating.","nozzle","The spout or opening through which something sprays."
"1210","37-3012","37-3012.00","Pesticide Handlers, Sprayers, and Applicators, Vegetation","11233","Clean or fix equipment so it works well. Use water, gas, oil, grease, or hand tools.",NA,NA
"1211","37-3013","37-3013.00","Tree Trimmers and Pruners","13115","Clean, sharpen, and oil tools and equipment.",NA,NA
"1212","37-3013","37-3013.00","Tree Trimmers and Pruners","13118","Trim, cut down, feed, and spray trees. Follow the orders of a tree surgeon.","tree surgeon","A person who treats damaged or diseased trees."
"1213","37-3013","37-3013.00","Tree Trimmers and Pruners","13120","Run shredding and chipping machines. Feed branches and other wood into the machines.","shredding and chipping","Tearing or cutting into small pieces."
"1214","39-1011","39-1011.00","Gaming Supervisors"," 4412","Watch over gaming areas. Make sure house rules are followed. Make sure tribal, state, and national laws are followed. Make sure workers do their jobs well.",NA,NA
"1215","39-1011","39-1011.00","Gaming Supervisors"," 4413","Make sure gamblers do not cheat. Make sure no one marks, switches, or counts cards. Alert security staff to any cheating.",NA,NA
"1216","39-1011","39-1011.00","Gaming Supervisors"," 4418","Make and run banks and table limits for each game.",NA,NA
"1217","39-1012","39-1012.00","Slot Supervisors"," 4435","Respond to and solve players’ complaints.","complaint","Reason someone is not happy or pleased."
"1218","39-1012","39-1012.00","Slot Supervisors"," 4437","Reset slot machines after they have paid out winnings.",NA,NA
"1219","39-1012","39-1012.00","Slot Supervisors"," 4436","Walk through certain parts of the gaming floor. Make sure players are following rules. Make sure machines are working well.",NA,NA
"1220","39-2011","39-2011.00","Animal Trainers"," 7993","Talk to and handle animals. Get them used to human voices or contact.",NA,NA
"1221","39-2011","39-2011.00","Animal Trainers"," 7999","Train horses to carry riders or pull carts. Use spoken or hand commands. Use riding equipment.",NA,NA
"1222","39-2011","39-2011.00","Animal Trainers"," 8000","Put riding gear onto horses. Get horses used to the feel of equipment.",NA,NA
"1223","39-3011","39-3011.00","Gaming Dealers"," 4447","Deal cards and figure out who is the winner.",NA,NA
"1224","39-3011","39-3011.00","Gaming Dealers"," 4445","Give out cash for gaming chips. Give out dollars for coins.",NA,NA
"1225","39-3011","39-3011.00","Gaming Dealers"," 4449","Make sure all players have placed their bets before play begins.",NA,NA
"1226","39-3012","39-3012.00","Gaming and Sports Book Writers and Runners"," 8012","Run gambling tables or games of chance. Those include dice, cards, and more. Make sure game rules are followed.",NA,NA
"1227","39-3012","39-3012.00","Gaming and Sports Book Writers and Runners"," 8016","Give out cash for gaming chips. Give out dollars for coins.",NA,NA
"1228","39-3012","39-3012.00","Gaming and Sports Book Writers and Runners"," 8011","Make sure all players have placed their bets before play begins.",NA,NA
"1229","39-3031","39-3031.00","Ushers, Lobby Attendants, and Ticket Takers"," 5096","Greet people at entertainment events.","entertainment","Film, TV, music, dance, plays, and other performing arts that amuse people."
"1230","39-3031","39-3031.00","Ushers, Lobby Attendants, and Ticket Takers","20764","Sell or take entry tickets and passes.",NA,NA
"1231","39-3031","39-3031.00","Ushers, Lobby Attendants, and Ticket Takers"," 5107","Sell food and drinks during breaks in events. Get food and drink for people sitting in the press box.",NA,NA
"1232","39-3092","39-3092.00","Costume Attendants"," 9616","Arrange costumes in the order they will be worn. Help speed up costume changes during events.","arrange","Put in order."
"1233","39-3092","39-3092.00","Costume Attendants"," 9616","Arrange costumes in the order they will be worn. Help speed up costume changes during events.","costumes","The clothes that performers wear."
"1234","39-3092","39-3092.00","Costume Attendants"," 9615","Hand out costumes or equipment. Keep records of who has what items.","costumes","The clothes that performers wear."
"1235","39-3092","39-3092.00","Costume Attendants"," 9626","Keep records of costumes, wigs, or makeup. Keep those items safe and ready to use. Give access to people who are allowed to handle the items.","costumes","The clothes that performers wear."
"1236","39-3092","39-3092.00","Costume Attendants"," 9626","Keep records of costumes, wigs, or makeup. Keep those items safe and ready to use. Give access to people who are allowed to handle the items.","access","The right to use a place or thing."
"1237","39-3093","39-3093.00","Locker Room, Coatroom, and Dressing Room Attendants"," 4472","Make sure customers follow the rules. Make sure the space stays safe and in order.",NA,NA
"1238","39-3093","39-3093.00","Locker Room, Coatroom, and Dressing Room Attendants"," 4469","Clean and shine shoes. Use brushes, sponges, cleaners, waxes, and more.",NA,NA
"1239","39-3093","39-3093.00","Locker Room, Coatroom, and Dressing Room Attendants"," 4473","Get food, drinks, and other items that are asked for.",NA,NA
"1240","39-4021","39-4021.00","Funeral Attendants"," 4514","Close caskets at the right time during funerals and viewing hours.","casket","Coffin that holds the body of a person who has died."
"1241","39-4021","39-4021.00","Funeral Attendants"," 4514","Close caskets at the right time during funerals and viewing hours.","funeral","Service for a person who has died."
"1242","39-4021","39-4021.00","Funeral Attendants"," 4518","Put out caskets before funerals and viewing hours.","casket","Coffin that holds the body of a person who has died."
"1243","39-4021","39-4021.00","Funeral Attendants"," 4518","Put out caskets before funerals and viewing hours.","funeral","Service for a person who has died."
"1244","39-4021","39-4021.00","Funeral Attendants"," 4525","Hand out and store funeral equipment.","funeral","Service for a person who has died."
"1245","39-4021","39-4021.00","Funeral Attendants"," 4525","Hand out and store funeral equipment.","store","To keep something for later use."
"1246","39-5092","39-5092.00","Manicurists and Pedicurists"," 8748","Clean tools and work spaces. Kill germs.","germ","A tiny living thing that spreads illness."
"1247","39-5092","39-5092.00","Manicurists and Pedicurists"," 8753","Polish people’s fingernails. Use a brush to spread on layers of clear or colored polish.",NA,NA
"1248","39-5092","39-5092.00","Manicurists and Pedicurists"," 8752","Shape and smooth the ends of fingernails. Use scissors, files, and more.",NA,NA
"1249","39-5093","39-5093.00","Shampooers","14818","Clean people’s hair. Rub shampoo and conditioner into their hair and scalp.","conditioner","Hair product that helps smooth and control hair."
"1250","39-5093","39-5093.00","Shampooers","14818","Clean people’s hair. Rub shampoo and conditioner into their hair and scalp.","scalp","Skin that covers the head."
"1251","39-5093","39-5093.00","Shampooers","14820","Treat scalp problems and hair loss. Use special shampoos, lamps, or equipment.","scalp","Skin that covers the head."
"1252","39-5093","39-5093.00","Shampooers","14821","Keep records of hair treatments.",NA,NA
"1253","39-6011","39-6011.00","Baggage Porters and Bellhops"," 2314","Bring people’s bags and suitcases to and from different places. Those places include rooms, cars, and loading areas. Carry by hand or use carts.",NA,NA
"1254","39-6011","39-6011.00","Baggage Porters and Bellhops"," 2317","Greet guests and bring them to their rooms.",NA,NA
"1255","39-6011","39-6011.00","Baggage Porters and Bellhops"," 2315","Help guests get where they want to go. Tell them about services they can use. Tell them about fun or special sites in the area.","services","Helpful or useful things."
"1256","39-9011","39-9011.00","Childcare Workers"," 2336","Watch over children as they play.",NA,NA
"1257","39-9011","39-9011.00","Childcare Workers","18760","Make sure children take naps or rest.",NA,NA
"1258","39-9011","39-9011.00","Childcare Workers"," 2343","Run day-care centers that are in work places or business places.",NA,NA
"1259","39-9021","39-9021.00","Personal Care Aides"," 2372","Do household tasks for patients. Cook, clean, wash clothes or dishes, and more. Run errands.","errands","Trips to do a certain task, like food shopping or mailing a letter."
"1260","39-9021","39-9021.00","Personal Care Aides"," 2375","Plan, shop for, and make healthy meals for patients. Help patients or families make healthy meals for themselves.",NA,NA
"1261","39-9021","39-9021.00","Personal Care Aides"," 2379","Help patients talk and write to others. Get info for them. Type emails and letters for them.",NA,NA
